TICKER;DATE;OPEN;HIGH;LOW;CLOSE;VOL;WAPRICE;NOMINAL
AMD;2017-09-02;;;;12.1455;;;100
AUD;2017-09-02;;;;46.0846;;;1
AZN;2017-09-02;;;;34.1303;;;1
BGN;2017-09-02;;;;35.3158;;;1
BRL;2017-09-02;;;;18.445;;;1
BYN;2017-09-02;;;;30.0885;;;1
CAD;2017-09-02;;;;46.4966;;;1
CHF;2017-09-02;;;;60.4558;;;1
CNY;2017-09-02;;;;88.3837;;;10
CZK;2017-09-02;;;;26.5082;;;10
DKK;2017-09-02;;;;92.8639;;;10
EUR;2017-09-02;;;;68.9992;;;1
GBP;2017-09-02;;;;75.0138;;;1
HKD;2017-09-02;;;;74.185;;;10
HUF;2017-09-02;;;;22.6285;;;100
INR;2017-09-02;;;;90.7759;;;100
JPY;2017-09-02;;;;52.7491;;;100
KGS;2017-09-02;;;;84.1631;;;100
KRW;2017-09-02;;;;51.7571;;;1000
KZT;2017-09-02;;;;17.1755;;;100
MDL;2017-09-02;;;;32.6156;;;10
NOK;2017-09-02;;;;74.616;;;10
PLN;2017-09-02;;;;16.2494;;;1
RON;2017-09-02;;;;15.0361;;;1
SEK;2017-09-02;;;;72.8556;;;10
SGD;2017-09-02;;;;42.8045;;;1
TJS;2017-09-02;;;;65.908;;;10
TMT;2017-09-02;;;;16.6134;;;1
TRY;2017-09-02;;;;16.8541;;;1
UAH;2017-09-02;;;;22.5503;;;10
USD;2017-09-02;;;;58.0557;;;1
UZS;2017-09-02;;;;13.8889;;;1000
XDR;2017-09-02;;;;82.0553;;;1
ZAR;2017-09-02;;;;44.8262;;;10